"Q-kode","churchLabel","latitude","longitude","kommune","stift","sogn","wikilink","opført","opført_tal"
"Q12339911","Tvede Kirke",56.5466,10.16972,"Randers Kommune","Århus Stift","Tvede Sogn","https://da.wikipedia.org/wiki/Tvede_Kirke","1100-tallet",1150
"Q12339913","Tversted Kirke",57.58172,10.18278,"Hjørring Kommune","Aalborg Stift","Tversted Sogn","https://da.wikipedia.org/wiki/Tversted_Kirke","1100-tallet",1150
"Q12339928","Tybjerg Kirke",55.3483,11.8122,"Næstved Kommune","Roskilde Stift","Tybjerg Sogn","https://da.wikipedia.org/wiki/Tybjerg_Kirke","1100-1200 tallet",1100
"Q12339967","Tårnby Kirke",55.3822,12.2565,"Stevns Kommune","Roskilde Stift","Tårnby Sogn","https://da.wikipedia.org/wiki/T%C3%A5rnby_Kirke_(Stevns_Kommune)","o. 1100[1][2]",1100
"Q12339969","Tårnby Kirke",55.6279,12.6026,"Tårnby Kommune","Københavns Stift","Tårnby Sogn","https://da.wikipedia.org/wiki/T%C3%A5rnby_Kirke_(T%C3%A5rnby_Kommune)","1150",1150
"Q12339975","Tårs Kirke",57.38431,10.11626,"Hjørring Kommune","Aalborg Stift","Tårs Sogn","https://da.wikipedia.org/wiki/T%C3%A5rs_Kirke_(Hj%C3%B8rring_Kommune)","romansk tid",1175
"Q12339979","Taastrup Nykirke",55.65371,12.30428,"Høje-Taastrup Kommune","Helsingør Stift","Taastrup Nykirke Sogn","https://da.wikipedia.org/wiki/Taastrup_Nykirke","1906-07",1906
"Q12340030","Tørring Kirke",55.8583,9.48278,"Hedensted Kommune","Haderslev Stift","Tørring Sogn","https://da.wikipedia.org/wiki/T%C3%B8rring_Kirke_(Hedensted_Kommune)","1200-tallet",1250
"Q12340085","Udby Kirke",55.7556,11.7086,"Holbæk Kommune","Roskilde Stift","Tuse Næs Sogn","https://da.wikipedia.org/wiki/Udby_Kirke_(Holb%C3%A6k_Kommune)","omkring 1100",1100
"Q12340113","Udlejre Kirke",55.79386,12.15314,"Egedal Kommune","Helsingør Stift","Ølstykke Sogn","https://da.wikipedia.org/wiki/Udlejre_Kirke","1991",1991
"Q12340143","Uggeløse Kirke",55.83911,12.26166,"Allerød Kommune","Helsingør Stift","Uggeløse Sogn","https://da.wikipedia.org/wiki/Uggel%C3%B8se_Kirke","ca. 1150",1150
"Q12340146","Uggerslev Kirke",55.5346,10.30243,"Nordfyns Kommune","Fyens Stift","Uggerslev Sogn","https://da.wikipedia.org/wiki/Uggerslev_Kirke","1100-tallet",1150
"Q12340182","Ullerup Kirke",54.96566,9.66254,"Sønderborg Kommune","Haderslev Stift","Ullerup Sogn","https://da.wikipedia.org/wiki/Ullerup_Kirke","Sidste halvdel af 1100-tallet",1150
"Q12340184","Ullerslev Kirke",55.36396,10.66392,"Nyborg Kommune","Fyens Stift","Ullerslev Sogn","https://da.wikipedia.org/wiki/Ullerslev_Kirke","Tidlig middelalder",1175
"Q12340219","Ulsted Kirke",57.07124,10.25395,"Aalborg Kommune","Aalborg Stift","Ulsted Sogn","https://da.wikipedia.org/wiki/Ulsted_Kirke","1100-tallet",1150
"Q12340220","Ulstrupbro Kirke",56.38619,9.78578,"Favrskov Kommune","Århus Stift","Ulstrupbro Sogn","https://da.wikipedia.org/wiki/Ulstrupbro_Kirke","1953",1953
"Q12340247","Understed Kirke",57.36987,10.45979,"Frederikshavn Kommune","Aalborg Stift","Understed Sogn","https://da.wikipedia.org/wiki/Understed_Kirke","ca. 1200",1200
"Q12340333","Urup Kirke",55.77814,8.79473,"Billund Kommune","Ribe Stift","Urup Sogn","https://da.wikipedia.org/wiki/Urup_Kirke","1919",1919
"Q12340345","Uth Kirke",55.81930133,9.871542319,"Horsens Kommune","Århus Stift","Uth Sogn","https://da.wikipedia.org/wiki/Uth_Kirke","1575. Ombygget 1869.",NA
"Q12340351","Nordvestkirken",55.7094,12.516,"Københavns Kommune","","","https://da.wikipedia.org/wiki/Utterslev_Kirke_(K%C3%B8benhavn)","1963",1963
"Q12340353","Utterslev Kirke",54.92124,11.19289,"Lolland Kommune","Lolland-Falsters Stift","Utterslev-Herredskirke-Løjtofte Sogn","https://da.wikipedia.org/wiki/Utterslev_Kirke_(Lolland)","ca. 1200",1200
"Q12340422","Vadum Kirke",57.1131,9.88528,"Aalborg Kommune","Aalborg Stift","Vadum Sogn","https://da.wikipedia.org/wiki/Vadum_Kirke","1200-tallet",1250
"Q12340501","Valsgård Kirke",56.6728,9.85008,"Mariagerfjord Kommune","Aalborg Stift","Valsgaard Sogn","https://da.wikipedia.org/wiki/Valsgaard_Kirke","1100-tallet",1150
"Q12340511","Vammen Kirke",56.53152,9.57292,"Viborg Kommune","Viborg Stift","Vammen Sogn","https://da.wikipedia.org/wiki/Vammen_Kirke","Ca. 1100",1100
"Q12340566","Vantore Kirke",54.66141,11.7951,"Guldborgsund Kommune","Lolland-Falsters Stift","Nysted-Vantore Sogn","https://da.wikipedia.org/wiki/Vantore_Kirke","1906",1906
"Q12340605","Vedtofte Kirke",55.30839,10.0492,"Assens Kommune","Fyens Stift","Vedtofte Sogn","https://da.wikipedia.org/wiki/Vedtofte_Kirke","Før 1200",NA
"Q12340628","Vejlby Kirke",56.19514,10.21175,"Aarhus Kommune","Århus Stift","Vejlby Sogn","https://da.wikipedia.org/wiki/Vejlby_Kirke_(Aarhus)","1100-tallet",1150
"Q12340629","Vejlby Kirke",56.46804,10.33769,"Norddjurs Kommune","Århus Stift","Vejlby Sogn","https://da.wikipedia.org/wiki/Vejlby_Kirke_(Alling%C3%A5bro)","i 1100-talletUdvidet i 1923",1100
"Q12340634","Vejle Adventkirke",55.7138,9.52589,"Vejle Kommune","","","https://da.wikipedia.org/wiki/Vejle_Adventkirke","1938",1938
"Q12340642","Vejle Kirke",55.27162,10.31314,"Faaborg-Midtfyn Kommune","Fyens Stift","Vejle Sogn","https://da.wikipedia.org/wiki/Vejle_Kirke","15.–begyn. 16. årh.- mindre del 1250",NA
"Q12340643","Vejle Metodistkirke",55.70957,9.53547,"Vejle Kommune","","","https://da.wikipedia.org/wiki/Vejle_Metodistkirke",NA,NA
"Q12340658","Vejleå Kirke",55.61546,12.35203,"Ishøj Kommune","Helsingør Stift","Ishøj Sogn","https://da.wikipedia.org/wiki/Vejle%C3%A5_Kirke","1996-97",1996
"Q12340660","Vejlø Kirke",55.1765,11.7535,"Næstved Kommune","Roskilde Stift","Vejlø Sogn","https://da.wikipedia.org/wiki/Vejl%C3%B8_Kirke","1250-1300",1250
"Q12340664","Vejrum Kirke",56.44237,9.55654,"Viborg Kommune","Viborg Stift","Vejrum Sogn","https://da.wikipedia.org/wiki/Vejrum_Kirke_(Viborg_Kommune)","Ca. 1200",1200
"Q12340665","Vejrup Kirke",55.52066,8.78456,"Esbjerg Kommune","Ribe Stift","Vejrup Sogn","https://da.wikipedia.org/wiki/Vejrup_Kirke","o. 1530",1530
"Q12340669","Vejstrup Valgmenighedskirke",55.10937,10.71287,"Svendborg Kommune","","","https://da.wikipedia.org/wiki/Vejstrup_Valgmenighedskirke","1874-75",1874
"Q12340670","Vejstrup Kirke",55.10436,10.71001,"Svendborg Kommune","Fyens Stift","Vejstrup Sogn","https://da.wikipedia.org/wiki/Vejstrup_Kirke_(Svendborg_Kommune)","Før 1589",NA
"Q12340676","Veksø Kirke",55.75439,12.24251,"Egedal Kommune","Helsingør Stift","Veksø Sogn","https://da.wikipedia.org/wiki/Veks%C3%B8_Kirke","o. 1100",1100
"Q12340690","Vellev Kirke",56.37013,9.81662,"Favrskov Kommune","Århus Stift","Vellev Sogn","https://da.wikipedia.org/wiki/Vellev_Kirke","o. 1100",1100
"Q12340700","Veng Kirke",56.11159,9.881,"Skanderborg Kommune","Århus Stift","Veng Sogn","https://da.wikipedia.org/wiki/Veng_Kirke","1100-tallet",1150
"Q12340719","Venø Kirke",56.55058,8.62366,"Struer Kommune","Viborg Stift","Venø Sogn","https://da.wikipedia.org/wiki/Ven%C3%B8_Kirke","omkring 1536",1536
"Q12340739","Verninge Kirke",55.29435,10.2169,"Assens Kommune","Fyens Stift","Verninge Sogn","https://da.wikipedia.org/wiki/Verninge_Kirke","o. 1150-1200",NA
"Q12340762","Vester Hjermitslev Kirke",57.29209,9.75479,"Jammerbugt Kommune","Aalborg Stift","Vester Hjermitslev Sogn","https://da.wikipedia.org/wiki/Vester_Hjermitslev_Kirke","romansk tid",1175
"Q12340765","Vester Nebel Kirke",55.54127,8.54259,"Esbjerg Kommune","Ribe Stift","Vester Nebel Sogn","https://da.wikipedia.org/wiki/Vester_Nebel_Kirke_(Esbjerg_Kommune)","o. 1100",1100
"Q12340768","Vester Skerninge Kirke",55.07502,10.46073,"Svendborg Kommune","Fyens Stift","Vester Skerninge Sogn","https://da.wikipedia.org/wiki/Vester_Skerninge_Kirke","1200",1200
"Q12340771","Vester Vandet Kirke",57.0111,8.57811,"Thisted Kommune","Aalborg Stift","Vester Vandet Sogn","https://da.wikipedia.org/wiki/Vester_Vandet_Kirke","o. 1200",1200
"Q12340773","Vester Vedsted Kirke",55.29115,8.6743,"Esbjerg Kommune","Ribe Stift","Vester Vedsted Sogn","https://da.wikipedia.org/wiki/Vester_Vedsted_Kirke","o. 1300",1300
"Q12340774","Vester Velling Kirke",56.43383,9.84296,"Favrskov Kommune","Århus Stift","Vester Velling Sogn","https://da.wikipedia.org/wiki/Vester_Velling_Kirke","o. 1100",1100
"Q12340789","Vesterbølle Kirke",56.7125,9.36205,"Vesthimmerlands Kommune","Viborg Stift","Vesterbølle Sogn","https://da.wikipedia.org/wiki/Vesterb%C3%B8lle_Kirke","o. 1100",1100
"Q12340800","Vesterhede Kirke",55.69063,8.91671,"Billund Kommune","Ribe Stift","Vesterhede Sogn","https://da.wikipedia.org/wiki/Vesterhede_Kirke","1910",1910
"Q12340801","Vesterkær Kirke",57.055833,9.891667,"Aalborg Kommune","Aalborg Stift","Vesterkær Sogn","https://da.wikipedia.org/wiki/Vesterk%C3%A6r_Kirke","1970",1970
"Q12340814","Vesterø Søndre Kirke",57.26802,10.90236,"Læsø Kommune","Aalborg Stift","Vesterø Sogn","https://da.wikipedia.org/wiki/Vester%C3%B8_S%C3%B8ndre_Kirke","1250",1250
"Q12340824","Vestkirken",55.72663,12.34263,"Ballerup Kommune","Helsingør Stift","Pederstrup Sogn","https://da.wikipedia.org/wiki/Vestkirken_(Ballerup)","1973",1973
"Q12340910","Viby Kirke",56.12819,10.1658,"Aarhus Kommune","Århus Stift","Viby Sogn","https://da.wikipedia.org/wiki/Viby_Kirke_(Aarhus)","Slutningen af 1100-tallet",1150
"Q12340989","Vigsnæs Kirke",54.88929,11.65578,"Guldborgsund Kommune","Lolland-Falsters Stift","Vigsnæs Sogn","https://da.wikipedia.org/wiki/Vigsn%C3%A6s_Kirke","1868-1869",1868
"Q12341087","Vilslev Kirke",55.39588,8.70265,"Esbjerg Kommune","Ribe Stift","Vilslev Sogn","https://da.wikipedia.org/wiki/Vilslev_Kirke","o. 1175",1175
"Q12341111","Vinderød Kirke",55.98516,12.03537,"Halsnæs Kommune","Helsingør Stift","Frederiksværk-Vinderød Sogn","https://da.wikipedia.org/wiki/Vinder%C3%B8d_Kirke","1883 (nuværende)",NA
"Q12341121","Vindum Kirke",56.37772,9.57238,"Viborg Kommune","Viborg Stift","Vindum Sogn","https://da.wikipedia.org/wiki/Vindum_Kirke","Romansk tid",1175
"Q12341167","Visborg Kirke",56.74014,10.1456,"Mariagerfjord Kommune","Aalborg Stift","Visborg Sogn","https://da.wikipedia.org/wiki/Visborg_Kirke","1200-tallet",1250
"Q12341181","Vissenbjerg Kirke",55.385,10.13,"Assens Kommune","Fyens Stift","Vissenbjerg Sogn","https://da.wikipedia.org/wiki/Vissenbjerg_Kirke","1150",1150
"Q12341183","Vissing Kirke",56.36456,10.00807,"Favrskov Kommune","Århus Stift","Vissing Sogn","https://da.wikipedia.org/wiki/Vissing_Kirke",NA,NA
"Q12341193","Vitten Kirke",56.2909,9.99911,"Favrskov Kommune","Århus Stift","Vitten Sogn","https://da.wikipedia.org/wiki/Vitten_Kirke","o. 1100",1100
"Q12341194","Vittrup Kirke",57.38673,9.78552,"Hjørring Kommune","Aalborg Stift","Børglum Sogn","https://da.wikipedia.org/wiki/Vittrup_Kirke","1937",1937
"Q12341209","Voel Kirke",56.19171,9.69391,"Silkeborg Kommune","Århus Stift","Voel Sogn","https://da.wikipedia.org/wiki/Voel_Kirke","1876",1876
"Q12341212","Voer Kirke",56.52196,10.26835,"Norddjurs Kommune","Århus Stift","Voer Sogn","https://da.wikipedia.org/wiki/Voer_Kirke_(Norddjurs_Kommune)","o. 1200",1200
"Q12341213","Voer Kirke",57.24032,10.35104,"Brønderslev Kommune","Aalborg Stift","Voer Sogn","https://da.wikipedia.org/wiki/Voer_Kirke_(Br%C3%B8nderslev_Kommune)","o. 1100",1100
"Q12341217","Voerladegård Kirke",56.0261,9.73553,"Skanderborg Kommune","Århus Stift","Voerladegård Sogn","https://da.wikipedia.org/wiki/Voerladeg%C3%A5rd_Kirke","omkring 1200",1200
"Q12341228","Vokslev Kirke",56.96643,9.68386,"Aalborg Kommune","Aalborg Stift","Vokslev Sogn","https://da.wikipedia.org/wiki/Vokslev_Kirke","1100-tallet",1150
"Q12341231","Voldby Kirke",56.23651,9.88325,"Favrskov Kommune","Århus Stift","Voldby Sogn","https://da.wikipedia.org/wiki/Voldby_Kirke_(Favrskov_Kommune)","ca. 1200",1200
"Q12341233","Voldum Kirke",56.36441,10.17051,"Favrskov Kommune","Århus Stift","Voldum Sogn","https://da.wikipedia.org/wiki/Voldum_Kirke","1606",1606
